"Story","Title","Result","Date","Stability","Duration (s)"
"CRUD test","Creating token","SUCCESS","2023-01-03T21:04:16.112Z[Europe/London]","0.0","8.23"
"CRUD test","Creating booking","SUCCESS","2023-01-03T21:04:24.387Z[Europe/London]","0.0","0.63"
"CRUD test","Get all ID","SUCCESS","2023-01-03T21:04:25.020Z[Europe/London]","0.0","0.76"
"CRUD test","Get single ID","SUCCESS","2023-01-03T21:04:25.786Z[Europe/London]","0.0","0.52"
"CRUD test","update ID","SUCCESS","2023-01-03T21:04:26.310Z[Europe/London]","0.0","1.12"
"CRUD test","Delete the student and verify if the student is deleted!","SUCCESS","2023-01-03T21:04:27.443Z[Europe/London]","0.0","1.08"
